name,description,ac,hp_formula,hp_avg,speed,str,dex,con,int,wis,cha,challenge,xp,size,mob_type,alignment,melee_mod,ranged_mod,attack1,attack1_range,attack1_dmg,attack2,attack2_range,attack2_dmg,attack3,attack3_range,attack3_dmg,source,notes,languages
Giant Crab,"A giant crab is a territorial hunter of shorelines and shallow waters, larger and more dangerous than its mundane kin.",15,4d8,18,"30 ft., swim 30 ft.",13,15,11,1,9,3,0.25,50,Medium,beast,unaligned,+3,,Claw,5 ft.,1d6+1 bludgeoning,,,,,,,,,
Giant Crocodile,"Giant crocodiles are massive, primeval predators that lurk in swamps and rivers, capable of dragging livestock or even small boats into the water.",14,9d12+27,86,"30 ft., swim 50 ft.",21,9,17,2,10,7,5,1800,Huge,beast,unaligned,+8,,Bite,5 ft.,2d10+5 piercing,Tail,10 ft.,1d12+5 bludgeoning,,,,,,
Giant Eagle,"Giant eagles are intelligent, noble creatures with vast wingspans, often serving as allies or mounts for good-aligned humanoids.",13,4d10+4,26,"10 ft., fly 80 ft.",16,17,13,8,14,10,1,200,Large,beast,neutral good,+5,,Beak,5 ft.,1d6+3 piercing,Talons,5 ft.,2d6+3 slashing,,,,,,Giant Eagle
Giant Elk,"Giant elks are majestic, intelligent beasts that roam forests and plains, often revered by druids and fey folk.",14,6d10+12,45,60 ft.,16,16,14,7,13,10,2,450,Large,beast,unaligned,+5,,Ram,10 ft.,2d6+3 bludgeoning,Hooves,5 ft.,2d8+3 bludgeoning,,,,,,
Giant Fire Beetle,"Giant fire beetles are mundane, unintelligent insects known for the bioluminescent glands that glow even after the beetle's death.",13,2d6+2,9,30 ft.,8,10,12,1,7,3,0,10,Small,beast,unaligned,+1,,Bite,5 ft.,1d6-1 piercing,,,,,,,,,
Giant Frog,"Giant frogs are carnivorous amphibians that inhabit marshes and swamps, preying on any creature small enough to swallow whole.",11,3d8+3,16,"20 ft., swim 20 ft.",12,13,11,2,10,3,0.25,50,Medium,beast,unaligned,+3,,Bite,5 ft.,1d6+1 piercing,,,,,,,,,
Giant Goat,"Giant goats are stubborn, sure-footed herbivores of mountainous terrain, known for their powerful headbutts.",11,3d8+3,16,40 ft.,17,11,12,2,10,5,0.5,100,Large,beast,unaligned,+5,,Ram,5 ft.,2d4+3 bludgeoning,,,,,,,,,
Giant Hyena,"Giant hyenas are larger, more aggressive versions of common hyenas, hunting in packs and cackling menacingly as they chase their prey.",12,5d8+10,32,50 ft.,16,14,15,2,12,7,1,200,Large,beast,unaligned,+5,,Bite,5 ft.,2d6+3 piercing,,,,,,,,,
Giant Lizard,"Giant lizards are large, cold-blooded reptiles that inhabit various environments, often used as mounts or guard animals by goblins and other humanoids.",12,3d8+3,16,"30 ft., climb 30 ft., swim 30 ft.",15,12,13,2,10,5,0.25,50,Large,beast,unaligned,+4,,Bite,5 ft.,1d8+2 piercing,,,,,,,,,
Giant Octopus,"Giant octopuses are intelligent, solitary predators of the deep sea, known for their powerful tentacles and ink spray.",11,7d10+14,52,"10 ft., swim 60 ft.",17,13,15,4,10,4,1,200,Large,beast,unaligned,+5,,Tentacles,15 ft.,2d6+3 bludgeoning,,,,,,,,,
Giant Owl,"A large, intelligent owl, often used as a mount by fey or forest dwellers, known for its keen senses and silent flight.",12,3d10,16,"10 ft., fly 60 ft.",13,15,12,8,13,10,0.25,50,Large,beast,neutral,+3,,Talons,5 ft.,1d6+1 slashing,,,,,,,,,
Giant Rat,"These monstrous rats are found in sewers, cellars, and dungeons, often in ravenous swarms and capable of spreading disease.",12,2d6,7,30 ft.,7,15,11,2,10,4,0.125,25,Small,beast,unaligned,+4,,Bite,5 ft.,1d4+2 piercing,,,,,,,,,
Giant Scorpian,,0,,0,,10,10,10,10,10,10,,0,,,,,,,,,,,,,,,GemDMD Sheet,unknown,
Giant Sea Horse,"These enormous, graceful aquatic creatures are often ridden by merrow or other intelligent underwater folk, serving as mounts and beasts of burden.",11,1d10+1,6,"0 ft., swim 40 ft.",12,13,12,2,10,5,0,10,Large,beast,unaligned,,,,,,,,,,,,,,
Giant Shark,"The undisputed apex predator of the oceans, a giant shark can swallow human-sized creatures whole and is a terror of the deep.",13,10d12+40,105,"0 ft., swim 50 ft.",23,11,18,1,10,4,5,1800,Huge,beast,unaligned,+9,,Bite,5 ft.,3d10+6 piercing,,,,,,,,,
Giant Spider,"A monstrous arachnid that spins elaborate webs to trap prey, often found in dark forests and caves, delivering a venomous bite.",14,4d10+4,26,"30 ft., climb 30 ft.",14,16,12,2,11,4,1,200,Large,beast,unaligned,+5,,Bite,5 ft.,1d8+3 piercing,,,,,,,,,
Giant Toad,"This oversized amphibian is a fearsome hunter, capable of swallowing creatures whole with its enormous maw and digestive acids.",11,6d10+12,45,"20 ft., swim 40 ft.",15,13,15,2,10,3,1,200,Large,beast,unaligned,+4,,Bite,5 ft.,2d6+2 piercing,,,,,,,,,
Giant Vulture,"A massive scavenger that soars through the sky in search of carrion, but won't hesitate to attack wounded prey with its sharp beak and talons.",10,6d10+6,39,"10 ft., fly 60 ft.",15,10,13,6,12,7,1,200,Large,beast,neutral evil,+4,,Beak,5 ft.,2d4+2 piercing,Talons,5 ft.,2d6+2 slashing,,,,,,
Giant Wasp,"These immense insects have venomous stings and aggressive territorial instincts, often found near their massive nests in forests or ruins.",13,4d8+4,22,"10 ft., fly 50 ft.",10,14,12,1,10,3,0.5,100,Medium,beast,unaligned,+4,,Sting,5 ft.,1d6+2 piercing,,,,,,,,,
Giant Weasel,"Larger and more cunning than their mundane kin, giant weasels are swift hunters that stalk their prey in forests and plains.",13,2d8+2,11,40 ft.,11,16,12,4,12,5,0.125,25,Medium,beast,unaligned,+5,,Bite,5 ft.,1d4+3 piercing,,,,,,,,,
Giant Wolf Spider,"A fearsome arachnid, the giant wolf spider is a hairy predator that hunts by ambush or chase, delivering venomous bites to its prey.",13,3d8,14,"40 ft., climb 40 ft.",12,16,10,3,12,4,0.25,50,Medium,beast,unaligned,+5,,Bite,5 ft.,1d6+3 piercing + 2d6 poison,,,,,,,,,
Gibbering Mouther,"A nauseating abomination composed of eyes and mouths, a gibbering mouther is a chaotic horror that drives those who hear its cacophony to madness.",9,6d8+18,45,"10 ft., swim 10 ft.",10,8,16,3,10,6,2,450,Medium,aberration,neutral evil,+2,,Blinding Spittle,15 ft.,,Many Mouths,5 ft.,5d4 piercing,,,,,,
Githyanki Knight,"A formidable warrior of the githyanki, a knight is a psionic combatant dedicated to Queen Vlaakith and her war against the mind flayers.",18,10d8+20,65,30 ft.,16,14,14,13,14,15,8,3900,Medium,humanoid,lawful evil,+6,,Greatsword,5 ft.,2d6+3 slashing,,,,,,,,,Gith
Githyanki Warrior,"A disciplined and ruthless soldier, the githyanki warrior serves its people's relentless quest for power and vengeance against the illithids.",18,5d8+10,32,30 ft.,15,14,12,13,13,10,3,700,Medium,humanoid,lawful evil,+4,,Greatsword,5 ft.,2d6+2 slashing,,,,,,,,,Gith
Githzerai Monk,"A practitioner of disciplined psionics and martial arts, the githzerai monk defends the monastery-cities of Limbo from intruders.",14,5d8+5,28,30 ft.,12,15,12,13,14,10,2,450,Medium,humanoid,lawful neutral,+4,+4,Unarmed Strike,5 ft.,1d6+2 bludgeoning,,,,,,,,,Gith
Githzerai Zerth,"A master of psionic power and the martial arts, a zerth is a wise leader and potent combatant among the githzerai, shaping reality with their thoughts.",17,12d8+24,78,30 ft.,13,18,14,15,17,12,8,3900,Medium,humanoid,lawful neutral,+7,,Unarmed Strike,5 ft.,1d6+4 bludgeoning,,,,,,,,,Gith
Gladiator,"A highly skilled combatant, a gladiator fights for public spectacle, often armed with a shield and various melee weapons.",16,7d8+21,52,30 ft.,16,15,16,10,12,14,5,1800,Medium,humanoid,any non-lawful,+5,+4,Spear,5 ft. or 20/60 ft.,1d6+3 piercing,Shield Bash,5 ft.,1d4+3 bludgeoning,,,,,,Common
Glazbrezu,"A powerful and cunning demon from the Abyss, a glabrezu uses its deceptive magic and immense strength to corrupt mortals and grant their wishes for its own dark amusement.",17,15d10+90,172,40 ft.,20,15,22,19,17,16,9,5000,Large,fiend,chaotic evil,+9,,Pincer,10 ft.,2d10+5 bludgeoning,Fist,5 ft.,2d8+5 bludgeoning,,,,,,Abyssal
Gnoll,"A savage, hyena-headed humanoid, the gnoll roams in nomadic packs, spreading chaos and destruction in the name of the demon lord Yeenoghu.",15,2d8+2,11,30 ft.,14,12,11,6,10,7,0.5,100,Medium,humanoid,chaotic evil,+4,+3,Glaive,10 ft.,1d10+2 slashing,Bite,5 ft.,1d4+2 piercing,Shortbow,80/320 ft.,1d6+1 piercing,,,Gnoll
Gnoll Fang of Yeenoghu,"A fanatical and favored servant of Yeenoghu, this gnoll warrior is empowered by the demon lord to inflict greater devastation and inspire its kin to further acts of brutality.",15,7d8+21,52,30 ft.,17,13,17,8,11,10,4,1100,Medium,humanoid,chaotic evil,+5,,Flail,5 ft.,1d8+3 bludgeoning,Bite,5 ft.,1d4+3 piercing,,,,,,Gnoll
Gnoll Pack Lord,"A gnoll pack lord is a larger, more powerful gnoll that leads a pack, inspiring its kin to even greater acts of savagery. It wields a massive glaive and can spur its allies to attack.",16,5d8+15,38,30 ft.,16,12,14,8,11,9,2,450,Medium,humanoid,chaotic evil,+5,+3,Glaive,10 ft.,1d10+3 slashing,Bite,5 ft.,1d4+3 piercing,Longbow,150/600 ft.,1d8+1 piercing,,,Gnoll
Goat,"Goats are common farm animals, known for their stubbornness and ability to eat nearly anything. They are sometimes used as mounts by smaller humanoids.",10,2d4+2,7,30 ft.,12,10,13,2,10,5,0,10,Small,beast,unaligned,+3,,Ram,5 ft.,1d4+2 bludgeoning,,,,,,,,,
Goblin,"Goblins are small, green-skinned humanoids who are driven by avarice and malice, often found in tribes preying on the weak. They hate gnomes and are subservient to larger evil humanoids.",15,2d6,7,30 ft.,8,14,10,10,8,8,0.25,50,Small,humanoid,neutral evil,+4,+4,Scimitar,5 ft.,1d6+2 slashing,Shortbow,80/320 ft.,1d6+2 piercing,,,,,,"Common, Goblin"
Goblin Boss,"A goblin boss is a more cunning and capable goblin that leads a war band, inspiring fear and obedience among its underlings. They are often found with a retinue of standard goblins.",17,6d8+6,33,30 ft.,10,14,12,12,11,12,1,200,Small,humanoid,neutral evil,+4,+4,Scimitar,5 ft.,1d6+2 slashing,Javelin,30/120 ft.,1d6+2 piercing,,,,,,"Common, Goblin"
Gold Dragon Wyrmling,"A gold dragon wyrmling is a good-natured but formidable young metallic dragon, valuing justice and honor above all else. They are known for their wisdom and fiery breath.",17,8d8+16,52,"30 ft., fly 60 ft., swim 30 ft.",19,14,15,12,11,14,3,700,Medium,dragon,lawful good,+6,,Bite,5 ft.,1d10+4 piercing,,,,,,,,,Draconic
Gorgon,"A gorgon is a monstrous bull-like creature with plates of iron instead of hide, capable of turning creatures to stone with its petrifying breath. It is a formidable beast of both nature and artifice.",18,10d12+50,115,40 ft.,20,11,20,2,12,7,5,1800,Large,monstrosity,unaligned,+8,,Gore,5 ft.,2d12+5 piercing,,,,,,,,,
Goristro,"A goristro is a titanic demon, an unholy fusion of minotaur and demon, that serves as a living siege engine in the Abyss. Its sheer destructive power is matched only by its terrifying presence.",19,17d12+119,230,40 ft.,25,11,24,6,13,14,19,22000,Huge,fiend,chaotic evil,+13,,Greatsword,10 ft.,4d12+7 slashing,Horns,5 ft.,3d8+7 piercing,Fist,10 ft.,2d10+7 bludgeoning,,,Abyssal
Gray Ooze,"A gray ooze is a predatory, amorphous blob that patiently waits for prey in damp, dark places, dissolving organic and inorganic matter alike. Its touch can corrode metal.",8,4d8+8,26,"10 ft., climb 10 ft.",7,6,14,1,6,2,0.5,100,Medium,ooze,unaligned,+2,,Pseudopod,5 ft.,1d6+1 bludgeoning plus 2d8 acid,,,,,,,,,
Gray Slaad,"A gray slaad is a horrifying frog-like humanoid from Limbo, spawned from a red or blue slaad, that possesses magical abilities and a desire to spread chaos. It can cast spells like *darkness* and *fear*.",15,10d8+30,75,30 ft.,15,14,16,11,11,12,9,5000,Medium,aberration,chaotic neutral,+6,,Greatsword,5 ft.,2d6+2 slashing,Claw,5 ft.,2d6+2 slashing,,,,,,Slaad
Green Dragon Wyrmling,"A green dragon wyrmling is a sinister and territorial young chromatic dragon, delighting in deceit and possessing a potent poison breath. It guards its forest lairs fiercely.",17,7d8+14,46,"30 ft., fly 60 ft., swim 30 ft.",15,12,14,14,11,13,2,450,Medium,dragon,lawful evil,+4,,Bite,5 ft.,1d8+2 piercing,,,,,,,,,Draconic
Green Hag,"A green hag is a vile, amphibious creature that delights in corruption and misery, often appearing as a withered old woman or beautiful maiden to lure victims.",17,13d8+26,84,30 ft.,18,15,16,12,14,16,3,700,Medium,fey,neutral evil,+6,,Claws,5 ft.,2d6+4 slashing,,,,,,,,,"Common, Sylvan"
Green Slaad,"Green slaadi are chaotic creatures of Limbo, capable of infecting humanoids with a terrible disease that transforms them into more slaadi.",17,15d8+60,128,30 ft.,18,15,19,14,12,16,8,3900,Large,aberration,chaotic evil,+7,,Claw,5 ft.,2d6+4 slashing,Bite,5 ft.,2d6+4 piercing,,,,,,"Slaad, Telepathy"
Grell,"A grell is a floating, tentacled brain that hunts in the dark, paralyzing its prey with venomous tendrils before consuming it.",15,8d8+8,44,"10 ft., fly 30 ft. (hover)",15,13,13,12,11,10,3,700,Medium,aberration,neutral evil,+4,,Tentacle,10 ft.,1d10+2 piercing + 2d6 poison,,,,,,,,,"Grell, Telepathy"
Grick,"A grick is a serpentine monstrosity with a beaked head and four tentacles, known for its ability to camouflage itself in stony environments.",18,6d8+6,33,"30 ft., climb 30 ft.",14,14,13,3,11,5,2,450,Medium,monstrosity,neutral,+4,,Tentacles,5 ft.,2d6+2 slashing,Beak,5 ft.,1d6+2 piercing,,,,,,
Grick Alpha,"A grick alpha is a larger, more powerful version of the common grick, leading smaller gricks and posing a significant threat with its strength and camouflage.",18,10d10+40,95,"30 ft., climb 30 ft.",18,15,18,4,13,7,7,2900,Large,monstrosity,neutral,+7,,Tentacles,10 ft.,3d6+4 slashing,Beak,5 ft.,2d6+4 piercing,,,,,,
Griffon,"Griffons are majestic, proud beasts with the body of a lion and the head and forelegs of a giant eagle, often nesting in high mountains.",12,7d10+7,46,"30 ft., fly 80 ft.",18,15,12,2,13,8,2,450,Large,monstrosity,unaligned,+6,,Beak,5 ft.,1d8+4 piercing,Claws,5 ft.,2d6+4 slashing,,,,,,
Grimlock,"Grimlocks are blind, monstrous humanoids that dwell in the Underdark, relying on their keen sense of hearing and smell to hunt.",16,2d8+2,11,30 ft.,16,10,13,9,12,6,0.25,50,Medium,humanoid,neutral evil,+5,,Greataxe,5 ft.,1d12+3 slashing,,,,,,,,,Undercommon
Guard,"A guard is a vigilant soldier or watchman, typically found protecting important locations, people, or goods in settlements and strongholds.",16,2d8+2,11,30 ft.,13,12,12,10,11,10,0.125,25,Medium,humanoid,any alignment,+3,+3,Spear,5 ft.,1d6+1 piercing,Spear,20/60 ft.,1d6+1 piercing,,,,,,Common
Guardian Naga,"Guardian nagas are benevolent, serpentine beings who safeguard ancient sites or sacred treasures, protecting them from evil with their wisdom and potent magic.",18,16d10+96,184,40 ft.,18,15,20,16,19,18,10,5900,Large,monstrosity,lawful good,+8,,Bite,10 ft.,1d10+4 piercing + 3d8 poison,Constrict,5 ft.,2d8+4 bludgeoning,,,,,,"Celestial, Common"
Gynosphinx,"Gynosphinxes are wise and intelligent monstrous humanoids with the body of a lion, the wings of a bird, and the head of a human woman, serving as guardians of knowledge and riddles.",17,16d10+48,136,"30 ft., fly 60 ft.",18,15,16,18,18,18,11,7200,Large,monstrosity,neutral good,+7,,Claw,5 ft.,2d8+4 slashing,,,,,,,,,"Common, Sphinx"
Half-Dragon,"A creature born of a humanoid and a dragon, combining the traits of both, often possessing draconic might and a fearsome presence.",17,7d8+14,46,30 ft.,17,12,15,10,11,14,3,700,Medium,Monstrosity,chaotic evil,+5,,Bite,5 ft.,1d6+3 piercing + 1d6 acid,Acid Breath (Recharge 5-6),15 ft. Cone,4d6 acid,,,,,,"Common, Draconic"
Half-Ogre,"A brutal and dim-witted brute born of an ogre and a humanoid, inheriting some strength from its ogre parent and cunning from its humanoid one.",13,4d8+8,26,30 ft.,15,11,14,9,10,10,1,200,Medium,Humanoid,chaotic evil,+4,+3,Greataxe,5 ft.,1d12+2 slashing,Javelin,30/120 ft.,1d6+2 piercing,,,,,,"Common, Orc"
Halr-Red Dragon Veteran,,0,,0,,10,10,10,10,10,10,,0,,,,,,,,,,,,,,,GemDMD Sheet,unknown,
Harpy,"A monstrous humanoid with the body of a bird and a humanlike head, known for luring sailors to their doom with their captivating, magical songs.",11,6d8+12,39,"20 ft., fly 40 ft.",12,13,14,7,10,13,1,200,Medium,Monstrosity,chaotic evil,+3,,Claws,5 ft.,2d4+1 slashing,,,,,,,,,Common
Hawk,"A keen-eyed bird of prey, known for its swift flight and sharp talons, often used by hunters or found soaring high above the land.",13,1d4,2,"10 ft., fly 60 ft.",5,16,10,2,14,6,0,10,Tiny,Beast,unaligned,+5,,Talons,5 ft.,1d4-3 slashing,,,,,,,,,
Hell Hound,"A fiendish, canine predator wreathed in flame, known for its deadly fiery breath and relentless pursuit of prey, often serving devils.",15,7d8+7,38,50 ft.,12,12,13,6,12,8,3,700,Medium,Fiend,lawful evil,+3,,Bite,5 ft.,1d8+1 piercing + 2d6 fire,Fire Breath (Recharge 5-6),15 ft. Cone,6d6 fire,,,,,,Infernal
Helmed Horror,"An animated, empty suit of plate armor enchanted with spell immunity and bound to obey its creator's commands, serving as a tireless guardian.",20,8d10+16,60,"30 ft., fly 30 ft.",14,10,14,10,10,10,4,1100,Medium,Construct,neutral,+4,,Longsword,5 ft.,1d8+2 slashing,,,,,,,,,Common
Hexrou,"A capricious fey spirit that delights in misfortune, often lurking in ancient woods to cast minor curses and sow discord among travelers.",13,5d6+5,22,30 ft.,8,14,12,10,13,15,1,200,Small,Fey,chaotic neutral,+4,,Corrupting Touch,5 ft.,1d4+2 necrotic,,,,,,,,,"Common, Sylvan"
Hill Giant,"A hulking, brutish giant of immense strength but limited intellect, typically found in hills and mountains where they raid settlements for food and plunder.",13,10d12+40,105,40 ft.,21,8,19,5,9,6,5,1800,Huge,Giant,chaotic evil,+8,+8,Greatclub,10 ft.,3d8+5 bludgeoning,Rock,60/240 ft.,2d10+5 bludgeoning,,,,,,Giant
Hippogriff,"A magnificent beast with the head and forelegs of a giant eagle and the body and hind legs of a horse, often ridden as a mount by warriors or rangers.",11,3d10+3,20,"40 ft., fly 60 ft.",15,13,13,2,12,8,1,200,Large,Monstrosity,unaligned,+4,,Beak,5 ft.,1d8+2 piercing,Claws,5 ft.,2d6+2 slashing,,,,,,
Hobgoblin,"Militaristic humanoids known for their disciplined armies and strategic minds, they are formidable foes in organized combat.",16,2d8+2,11,30 ft.,13,12,12,10,10,9,0.5,100,Medium,Humanoid,lawful evil,+3,+3,Longsword,5 ft.,1d8+1 slashing,Longbow,150/600 ft.,1d8+1 piercing,Javelin,30/120 ft.,1d6+1 piercing,,,"Common, Goblin"
Hobgoblin Captain,"A veteran hobgoblin warrior, skilled in command and combat, leading smaller units with disciplined tactics.",17,10d8+20,65,30 ft.,15,14,14,12,10,13,3,700,Medium,Humanoid,lawful evil,+4,+4,Longsword,5 ft.,1d8+2 slashing,Javelin,30/120 ft.,1d6+2 piercing,,,,,,"Common, Goblin"
Hobgoblin Warlord,"A formidable and cunning leader of hobgoblin armies, inspiring fear and discipline in their ranks.",18,13d8+39,98,30 ft.,17,14,16,12,12,15,6,2300,Medium,Humanoid,lawful evil,+6,+6,Greatsword,5 ft.,2d6+3 slashing,Javelin,30/120 ft.,1d6+3 piercing,,,,,,"Common, Goblin"
Homunculus,"A tiny, winged construct typically created by a spellcaster to serve as a loyal familiar or spy, capable of delivering minor stings.",13,3d4,8,"20 ft., fly 40 ft.",4,15,10,10,10,7,0,10,Tiny,Construct,neutral,+4,,Bite,5 ft.,1d4 piercing (plus poison),,,,,,,,,Understands the languages of its creator but can't speak
Hook Horror,"A terrifying, omnivorous monstrosity dwelling in the Underdark, known for its keen hearing and deadly hooks.",14,11d10+33,94,"30 ft., climb 30 ft.",18,10,16,6,12,7,3,700,Large,Monstrosity,neutral evil,+6,,Hook,10 ft.,2d6+4 slashing,Hook,10 ft.,2d6+4 slashing,,,,,,Hook Horror
Horned Devil,"A fearsome fiend serving in the legions of hell, often found as commanders or tormentors, wielding a burning fork and tail.",18,17d8+102,178,"20 ft., fly 60 ft.",22,17,22,12,16,21,11,7200,Large,Fiend,lawful evil,+10,+8,Fork,10 ft.,2d8+6 piercing,Tail,10 ft.,2d10+6 piercing (plus fire),Hurl Flame,150 ft.,6d6 fire,,,"Infernal, telepathy 120 ft."
Hunter Shark,"A swift and aggressive predator of the seas, attacking with powerful bites, often hunting in shallow coastal waters.",12,5d10+10,38,"0 ft., swim 40 ft.",18,13,15,1,10,4,2,450,Large,Beast,unaligned,+6,,Bite,5 ft.,2d8+4 piercing,,,,,,,,,
Hydra,"A reptilian monstrosity with multiple heads, each capable of attacking, and the ability to grow new heads when severed.",15,12d12+72,150,"30 ft., swim 30 ft.",20,12,20,2,10,7,8,3900,Huge,Monstrosity,unaligned,+8,,Bite,10 ft.,1d10+5 piercing,,,,,,,,,
Hyena,"A scavenging canine known for its distinctive cackle and pack hunting tactics, often found in deserts and plains.",11,1d8+1,6,50 ft.,8,13,12,2,12,5,0,10,Medium,Beast,unaligned,+2,,Bite,5 ft.,1d4+1 piercing,,,,,,,,,
Ice Devil,"A cold and calculating fiend of the Nine Hells, serving as a master of strategy and ice-based combat in the frozen wastes of Cocytus.",19,18d10+90,189,"30 ft., fly 60 ft.",21,14,20,18,17,18,14,11500,Large,Fiend,lawful evil,+10,,Spear,10 ft.,2d6+5 piercing (plus cold),Tail,10 ft.,3d10+5 bludgeoning (plus cold),,,,,,"Infernal, telepathy 120 ft."
Ice Mephit,"An ice mephit is a small, winged elemental creature formed from the elemental chaos, often found in frigid regions and serving more powerful beings. They are mischievous and sometimes cruel, delighting in cold-related pranks.",11,4d6,14,"30 ft., fly 30 ft.",7,13,10,9,11,12,0.5,100,Small,elemental,neutral evil,+3,+3,Claws,5 ft.,2d4+1 slashing,Ice Breath (Recharge 6),15 ft. cone,2d4 cold (DC 10 Dex save),,,,,,"Aquan, Auran"
Imp,"An imp is a tiny fiend, a lesser devil that often serves warlocks or other spellcasters as a familiar or spy. They are cowardly and malicious, using their shapechanging abilities to sow discord and torment mortals.",13,4d4+4,14,"20 ft., fly 40 ft.",6,17,13,11,12,14,1,200,Tiny,fiend,lawful evil,+5,,Sting,5 ft.,1d4+3 piercing + 2d4 poison,,,,,,,,,"Infernal, Common"
Incubus,"Incubi are fiends that prey on humanoids, seducing them in their dreams or in disguise to drain their life force or corrupt their souls. They are masters of deception and illusion, thriving on the despair and misery of their victims.",15,10d8+20,65,"30 ft., fly 60 ft.",8,15,14,16,13,20,4,1100,Medium,fiend,chaotic evil,+7,,Claw,5 ft.,1d6+3 slashing,Draining Kiss (Charmed target),5 ft.,5d6 psychic,,,,,,"Abyssal, Common, Infernal"
Intellect Devourer,"An intellect devourer is a horrific, brain-like aberration that can devour the minds of its victims, hollowing out their skulls and taking over their bodies. They are often servants of mind flayers, using their psionic powers to scout and infiltrate.",12,7d4+7,24,40 ft.,6,14,13,16,10,12,2,450,Tiny,aberration,lawful evil,+4,,Claws,5 ft.,2d6+2 slashing,Devour Intellect (DC 12 Int save),10 ft.,2d6 psychic,Body Thief,5 ft.,,,,
Invisible Stalker,"An invisible stalker is an elemental creature of air, summoned to perform a specific task or assassinate a target, remaining invisible until it dies. They are relentless and untraceable, relentlessly pursuing their quarry without rest or hesitation.",14,10d8+20,65,"50 ft., fly 50 ft.",16,19,14,10,12,11,6,2300,Medium,elemental,neutral evil,+6,,Slam,5 ft.,2d6+3 bludgeoning,,,,,,,,,"Auran, Common"
Iron Golem,"An iron golem is a powerful, unthinking automaton, crafted from heavy iron and animated by an elemental spirit. These constructs are typically created as guardians or formidable weapons, immune to many forms of harm and tirelessly performing their assigned duties.",20,20d10+100,210,30 ft.,24,9,20,3,11,1,16,18000,Large,construct,unaligned,+13,,Slam,5 ft.,3d8+7 bludgeoning,Sword,5 ft.,3d10+7 slashing,Poison Breath (Recharge 5-6),15 ft. cone,10d8 poison (DC 19 Con save),,,
Jackal,Jackals are opportunistic scavengers and predators that often hunt in small packs in arid or scrubland environments. They are known for their cunning and distinct calls that echo across the night.,12,1d6+1,4,40 ft.,8,15,12,3,12,6,0,10,Small,beast,unaligned,+4,,Bite,5 ft.,1d4+2 piercing,,,,,,,,,
Jackalwere,"Jackalweres are cunning humanoids with the ability to transform into a jackal or a hybrid form, preying on travelers and feigning weakness to lure in victims. They are malicious shapeshifters, often working in packs and delighting in deceit.",12,4d8+4,22,30 ft.,11,15,12,13,11,13,0.5,100,Medium,humanoid,chaotic evil,+4,+4,Scimitar,5 ft.,1d6+2 slashing,Shortbow,80/320 ft.,1d6+2 piercing,Bite (Jackal or Hybrid form),5 ft.,1d4+2 piercing,,,"Common, Infernal"
Kenku,"Kenku are flightless bird-folk cursed with the inability to speak, instead mimicking sounds and voices they've heard to communicate. They are often driven by a desperate desire to regain their lost wings and creativity, frequently resorting to thievery and deception.",13,2d8,9,30 ft.,10,14,10,11,10,10,0.25,50,Medium,humanoid,chaotic evil,+4,+4,Shortsword,5 ft.,1d6+2 piercing,Shortbow,80/320 ft.,1d6+2 piercing,,,,,,"Auran, Common"
Killer Whale,"Killer whales are powerful aquatic predators, intelligent and highly social, hunting in pods to take down large prey like seals and other whales. They are apex predators of the ocean, renowned for their distinctive black and white markings and formidable hunting tactics.",12,6d12+12,51,"0 ft., swim 60 ft.",19,10,13,3,12,7,1,200,Huge,beast,unaligned,+6,,Bite,5 ft.,2d6+4 piercing,,,,,,,,,
Knight,"A master of martial combat, a knight is a professional soldier, often serving a lord or lady, dedicated to upholding a code or cause.",18,8d8+32,68,30 ft.,16,11,14,11,11,15,3,700,Medium,humanoid,lawful good,+5,+2,Greatsword,5 ft.,2d6+3 slashing,Heavy Crossbow,100/400 ft.,1d10 piercing,,,,,,any one language (usually Common)
Kobold,"Kobolds are small, reptilian humanoids known for their traps, their worship of dragons, and their cowardice when confronted directly.",12,2d6-2,5,30 ft.,7,15,9,8,7,8,0.125,25,Small,humanoid,lawful evil,+4,+4,Dagger,5 ft.,1d4+2 piercing,Sling,30/120 ft.,1d4+2 bludgeoning,,,,,,"Common, Draconic"
Kou-toa,,0,,0,,10,10,10,10,10,10,,0,,,,,,,,,,,,,,,GemDMD Sheet,unknown,
Kou-toa Whip,,0,,0,,10,10,10,10,10,10,,0,,,,,,,,,,,,,,,GemDMD Sheet,unknown,
Kraken,"This legendary leviathan is a titanic cephalopod, a nightmare from the deepest abysses, capable of sinking entire fleets with its crushing grip and devastating lightning.",18,27d20+243,526,"20 ft., swim 60 ft.",30,11,29,21,21,23,23,50000,Gargantuan,monstrosity,chaotic evil,+17,,Tentacle,30 ft.,4d8+10 bludgeoning,Bite,5 ft.,6d6+10 piercing,Lightning Storm,120 ft. radius,16d10 lightning,,,"Abyssal, Celestial, Primordial"
Kuo-toa Archpriest,"The ultimate religious leader of a Kuo-toa community, an archpriest is a powerful cleric dedicated to the worship of its often bizarre, self-created deity.",13,12d8+24,78,"30 ft., swim 30 ft.",14,10,14,12,16,13,6,2300,Medium,humanoid,chaotic evil,+5,+3,Pincer Staff,10 ft.,1d6+2 bludgeoning,Net,5 ft. or 5/15 ft.,,,,,,,Undercommon
